DateTime;Media;Category/Gatra;Subcategory;Headline;Detail
202009172157;tribunpekanbaru;Politik;Kebijakan Internasional;Makan Malam Berakhir Petaka, 5 Pejabat Korut Dihukum Mati Kim Jong Un, Keluarga Dipenjara Politik;1105
202009171102;tribunpekanbaru;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Bupati Meranti Irwan Nasir Ingin Berhenti dari Dunia Politik, Tak Mau Lagi Jadi Ketua PAN Riau;1106
202009150027;tribunpekanbaru;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Karir Politik Ponakan Prabowo Rahayu Saraswati Menanjak, Jabat Waketum Gerindra, Ini Sosoknya;1107
202009012031;tribunpekanbaru;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Bakal Calon Bupati Ini Menangis Saat Deklarasi, Ingat Anaknya yang Berbeda Kubu di Pilkada Semarang;1108
202008271758;tribunpekanbaru;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;POLEMIK Partai Golkar Pekanbaru: Sekretaris DPD II Dicopot Tanpa Sebab-SOKSI Tolak Pelaksanaan Musda;1109
202008191542;tribunpekanbaru;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Dibuka! Kandidat Ketua untuk Bertarung pada Musda DPD II Partai Golkar Pekanbaru;1110
202210100855;lensabangkabelitung;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Soal Nasib Pegawai Kontrak Kegiatan, Bupati Bateng Janji Upayakan Yang Terbaik;1201
202210041433;lensabangkabelitung;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Peserta Seleksi Calon Staf Sekretariat Panwaslu Bangka Tengah Jalani Tes Tertulis;1202
202210031204;lensabangkabelitung;Politik;Konflik Kelompok Kepentingan di luar Paprpol;DPRD Bangka Barat Proses Perda Inisiatif Terkait Retribusi Persetujuan Pembangunan Gedung di 2022;1203
202210241129;lensabangkabelitung;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Menjelang Tahun Politik, BKPSDM Harapkan Netralitas PNS dan PHL Bangka Barat;1204
202210241129;lensabangkabelitung;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Nama Dicatut Partai Politik, 73 Warga Bangka Barat Datangi KPU Laporkan Keberatan;1205
202209220923;lensabangkabelitung;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Tahapan Pemilu 2024 Dimulai, Bawaslu Bangka Tengah Buka Rekrutmen Anggota Panwascam;1206
202208121157;lensabangkabelitung;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Pimpin Upacara HUT RI, Bupati Bateng Minta Masyarakat Kenang Jasa Pahlawan;1207
